name,smiles,xyz_file
anti_S_O_2-Cl_3-OMe,C1=C2C=C(C(OC)=C4)C(O4)=CC2=CC3=CC(C=C5(Cl))=C(S5)C=C13,structures/anti_S_O_2-Cl_3-OMe.xyz
anti_S_O_2-Cl_m-CF3benz,C1=C2C=C(C(C=C6)=C4(C=C6(C(F)(F)(F))))C(O4)=CC2=CC3=CC(C=C5(Cl))=C(S5)C=C13,structures/anti_S_O_2-Cl_m-CF3benz.xyz
anti_S_O_2-CN_2-CN,C1=C2C=C(C=C4(C#N))C(O4)=CC2=CC3=CC(C=C5(C#N))=C(S5)C=C13,structures/anti_S_O_2-CN_2-CN.xyz
anti_S_O_2-F_tetFbenz,C1=C2C=C(C(C(F)=C6(F))=C4(C(F)=C6(F)))C(O4)=CC2=CC3=CC(C=C5(F))=C(S5)C=C13,structures/anti_S_O_2-F_tetFbenz.xyz
anti_S_O_2-OMe_3-Cl,C1=C2C=C(C(Cl)=C4)C(O4)=CC2=CC3=CC(C=C5(OC))=C(S5)C=C13,structures/anti_S_O_2-OMe_3-Cl.xyz
anti_S_O_3-F_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(O4)=CC2=CC3=CC(C(F)=C5)=C(S5)C=C13,structures/anti_S_O_3-F_diCl.xyz
anti_S_O_p-CNbenz_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(O4)=CC2=CC3=CC(C(C=C7(C#N))=C5(C=C7))=C(S5)C=C13,structures/anti_S_O_p-CNbenz_diCl.xyz
anti_S_S_2-CN_p-CF3benz,C1=C2C=C(C(C=C6(C(F)(F)(F)))=C4(C=C6))C(S4)=CC2=CC3=CC(C=C5(C#N))=C(S5)C=C13,structures/anti_S_S_2-CN_p-CF3benz.xyz
anti_S_S_2-OMe_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(S4)=CC2=CC3=CC(C=C5(OC))=C(S5)C=C13,structures/anti_S_S_2-OMe_p-OMebenz.xyz
anti_S_S_3-CN_diOMe,C1=C2C=C(C(OC)=C4(OC))C(S4)=CC2=CC3=CC(C(C#N)=C5)=C(S5)C=C13,structures/anti_S_S_3-CN_diOMe.xyz
anti_S_S_3-F_3-OMe,C1=C2C=C(C(OC)=C4)C(S4)=CC2=CC3=CC(C(F)=C5)=C(S5)C=C13,structures/anti_S_S_3-F_3-OMe.xyz
anti_S_S_C_C,C1=C2C=C(C=C4)C(S4)=CC2=CC3=CC(C=C5)=C(S5)C=C13,structures/anti_S_S_C_C.xyz
anti_S_S_C_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(S4)=CC2=CC3=CC(C=C5)=C(S5)C=C13,structures/anti_S_S_C_diCl.xyz
anti_S_S_diCN_m-OMebenz,C1=C2C=C(C(C=C6)=C4(C=C6(OC)))C(S4)=CC2=CC3=CC(C(C#N)=C5(C#N))=C(S5)C=C13,structures/anti_S_S_diCN_m-OMebenz.xyz
anti_S_S_diF_diCl,C1=C2C=C(C(Cl)=C4(Cl))C(S4)=CC2=CC3=CC(C(F)=C5(F))=C(S5)C=C13,structures/anti_S_S_diF_diCl.xyz
